超能陆战队,8.6
蝙蝠侠：黑暗骑士崛起,8.6
我是山姆,8.8
人工智能,8.6
浪潮,8.7
冰川时代,8.4
请以你的名字呼唤我,8.8
朗读者,8.5
香水,8.4
罗生门,8.7
爆裂鼓手,8.6
血战钢锯岭,8.7
追随,8.9
一次别离,8.7
title,scores
未麻的部屋,8.8
撞车,8.6
可可西里,8.7
战争之王,8.5
恐怖游轮,8.3
地球上的星星,8.8
达拉斯买家俱乐部,8.7
梦之安魂曲,8.7
被解救的姜戈,8.6
小萝莉的猴神大叔,8.6
牯岭街少年杀人事件,8.7
谍影重重,8.5
魔女宅急便,8.5
谍影重重2,8.5
房间,8.8
头脑特工队,8.7
惊魂记,8.9
忠犬八公物语,9.0
碧海蓝天,8.7
再次出发之纽约遇见你,8.5
青蛇,8.4
阿飞正传,8.5
东京物语,9.2
哪吒闹海,8.9
秒速5厘米,8.3
title,scores
末路狂花,8.7
模仿游戏,8.6
海盗电台,8.6
源代码,8.3
终结者2：审判日,8.6
绿里奇迹,8.7
黑客帝国3：矩阵革命,8.5
新龙门客栈,8.5
一个叫欧维的男人决定去死,8.7
你的名字。,8.4
勇闯夺命岛,8.5
这个男人来自地球,8.5
卡萨布兰卡,8.6
城市之光,9.2
变脸,8.4
无耻混蛋,8.4
初恋这件小事,8.3
发条橙,8.4
E.T. 外星人,8.5
荒野生存,8.6
黄金三镖客,9.1
迁徙的鸟,9.1
美国丽人,8.4
无人知晓,9.0
爱在午夜降临前,8.8
title,scores
英国病人,8.4
燕尾蝶,8.6
疯狂的石头,8.3
非常嫌疑犯,8.6
叫我第一名,8.6
无敌破坏王,8.6
勇士,8.9
穆赫兰道,8.3
步履不停,8.8
国王的演讲,8.3
血钻,8.5
彗星来的那一夜,8.4
上帝也疯狂,8.6
枪火,8.6
大卫·戈尔的一生,8.6
遗愿清单,8.5
聚焦,8.8
蓝色大门,8.3
我爱你,9.0
荒岛余生,8.5
千钧一发,8.7
黑鹰坠落,8.5
爱·回家,9.0
麦兜故事,8.5
海街日记,8.6
